sym,cum_pnl,single_pnl,accuracy,n_active,f0_5_macro
0,1.355853197684759,0.0011893449102497887,0.8177705392689106,1140,0.12382276689635019
1,3.4018767086909887,0.00017549921113758712,0.4459486970684039,19384,0.3014776376077847
2,-0.983864442248467,-2.7168818994517632e-05,0.5116042345276873,36213,0.2813255381956784
3,0.22623903620872557,7.9858466716811e-05,0.7843376764386536,2833,0.09455075598066588
4,7.108519341216787,0.0003027736323884823,0.48555691277596813,23478,0.3290124106696689
