T,delta,sum_cum_pnl,mean_cum_pnl,n_pos_folds,mean_accuracy,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
0.45,0.05,11.108623841552793,2.2217247683105588,4,0.6090436120159247,83048,1.355853197684759,3.4018767086909887,-0.983864442248467,0.22623903620872557,7.108519341216787
0.45,0.0,11.107381945045093,2.221476389009019,4,0.6090300398117987,83063,1.355853197684759,3.398777507531047,-0.9820071375962249,0.22623903620872557,7.108519341216787
0.45,0.1,11.096514124852579,2.219302824970516,4,0.6096860296778863,82529,1.3402050516940551,3.393923710350342,-0.9533640637868765,0.2175002400711311,7.098249186523927
0.45,0.15,10.986320925726528,2.1972641851453054,4,0.6127985884907708,79409,1.2800113923932033,3.3325336231751765,-0.678922076358345,0.1713949416316712,6.881303044884822
0.45,0.2,10.654672561680995,2.130934512336199,4,0.618992037640246,71156,1.2257959383182595,3.1691011448026285,-0.10939685505387231,0.1103535283738589,6.25881880524012
0.45,0.25,8.991939137214654,1.7983878274429308,5,0.6258618349619978,56865,1.1060773149014107,2.806510726810318,0.39927444764723613,0.028919813661476973,4.651156834194213
0.35,0.25,8.496111033301238,1.6992222066602476,5,0.6269476112920739,64577,1.18625540309006,2.5448347343067534,0.11043802269287328,0.01914626101197954,4.635436612199571
0.4,0.25,8.496111033301238,1.6992222066602476,5,0.6269476112920739,64577,1.18625540309006,2.5448347343067534,0.11043802269287328,0.01914626101197954,4.635436612199571
0.4,0.05,8.390436066867748,1.6780872133735496,4,0.577169290626131,157121,1.7015651418918198,1.2105282935128876,-4.146160225657822,0.13098950802068993,9.493513349100173
0.35,0.2,8.365189122972199,1.6730378245944397,3,0.6170670466883822,94416,1.3953110084355134,1.868036189043959,-0.9515461348443811,-0.13947009682467804,6.192858157161785
0.4,0.2,8.365189122972199,1.6730378245944397,3,0.6170670466883822,94416,1.3953110084355134,1.868036189043959,-0.9515461348443811,-0.13947009682467804,6.192858157161785
0.4,0.0,8.34356596271354,1.6687131925427081,4,0.5726316503800217,160954,1.8090544066546346,1.2310255652248094,-4.456661061632259,0.17272629691079866,9.587420755555558
0.4,0.1,8.234533255090765,1.6469066510181531,4,0.5875836952587766,145797,1.449792992937643,1.2062151537828414,-3.407055241703514,0.03259802397611289,8.952982326097683
0.5,0.0,8.156899379672492,1.6313798759344984,5,0.6198855410785378,32895,0.544227494263755,2.8399393829304613,0.9294413119819889,0.20171063082997753,3.6415805596663082
0.5,0.05,8.156899379672492,1.6313798759344984,5,0.6198855410785378,32895,0.544227494263755,2.8399393829304613,0.9294413119819889,0.20171063082997753,3.6415805596663082
