T,delta,sum_cum_pnl,mean_cum_pnl,n_pos_folds,mean_accuracy,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
0.45,0.25,8.867446602433166,1.773489320486633,4,0.6222674629026421,52541,1.366192104356358,2.221789242796468,1.5256390085394902,-0.014484856778019523,3.768311103518869
0.45,0.2,8.630655492579242,1.7261310985158484,4,0.5979709554831705,81415,0.10621406539936828,2.250391828412576,1.4096284912723878,-0.048298676780728106,4.912719784275639
0.5,0.25,8.38992023728882,1.6779840474577639,4,0.6226406985161057,30132,0.4035582904599058,2.7907792652357277,1.4801831388945361,-0.014484856778019523,3.7298843994766697
0.5,0.2,8.285399753677305,1.657079950735461,4,0.619534925805284,33037,0.19066014999010597,2.9149333452704314,1.5146571717416901,-0.054999978963602675,3.720149065638681
0.5,0.0,8.268458788762644,1.6536917577525287,4,0.6183925986246833,33918,0.19066014999010597,2.913726322729933,1.530708675851108,-0.08678542544718514,3.720149065638681
0.5,0.05,8.268458788762644,1.6536917577525287,4,0.6183925986246833,33918,0.19066014999010597,2.913726322729933,1.530708675851108,-0.08678542544718514,3.720149065638681
0.5,0.15,8.267514282213725,1.653502856442745,4,0.6188269091567137,33602,0.19066014999010597,2.9123464635311347,1.5236414315281537,-0.07928282847435143,3.720149065638681
0.5,0.1,8.267192114675654,1.6534384229351307,4,0.6184242671009772,33900,0.19066014999010597,2.913726322729933,1.530708675851108,-0.08805209953417474,3.720149065638681
0.35,0.25,7.8154047626054926,1.5630809525210985,4,0.6228397575099529,56956,1.330855327689042,1.7793969224297574,1.2814811557192745,-0.014484856778019523,3.438156213545438
0.4,0.25,7.8154047626054926,1.5630809525210985,4,0.6228397575099529,56956,1.330855327689042,1.7793969224297574,1.2814811557192745,-0.014484856778019523,3.438156213545438
0.45,0.15,5.9864525607996955,1.197290512159939,3,0.5710165580890336,101064,-2.428146752517641,2.471078356074818,0.9391567058611536,-0.05832870008718537,5.06269295146855
0.45,0.0,5.8244941680587,1.16489883361174,4,0.5605976293883461,108913,-2.7070190241907737,2.492186305465343,0.7983575381060715,0.17925710149500085,5.061712247183058
0.45,0.05,5.803991719204021,1.160798343840804,4,0.5635880383640971,106904,-2.7070190241907737,2.492186305465343,0.7966403964271968,0.16047179431919692,5.061712247183058
