sym,cum_pnl,n_active,accuracy
0,-12.381284093806006,84003,0.13707926167209555
1,-4.5639319881080125,70096,0.37473986608758597
2,-6.365714231075284,66043,0.3645154723127036
3,0.47969823508502873,7009,0.7507012305465074
4,0.8795322087161705,88208,0.3138798407528049
