sym,cum_pnl,single_pnl,accuracy,n_active,f0_5_macro
0,-2.7070190241907737,-9.739580572032718e-05,0.5945417119073471,27794,0.11022645988794405
1,2.492186305465343,9.871608593303268e-05,0.4348307998552298,25246,0.3086265356109603
2,0.7966403964271968,3.335735685567359e-05,0.5511898298950416,23882,0.2700210836295922
3,0.16047179431919692,6.222248713423688e-05,0.7796439558450959,2579,0.05315323326963317
4,5.061712247183058,0.00018471379948119032,0.45773389431777056,27403,0.3202158253954698
