T,delta,sum_cum_pnl,mean_cum_pnl,n_pos_folds,mean_accuracy,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
0.5,0.1,5.533004816388151,1.1066009632776301,4,0.6092290988056461,52073,0.5196333801019871,3.06090152507452,-2.093628938737481,0.057264990523356464,3.988833859425768
0.5,0.05,5.5328048163881505,1.10656096327763,4,0.6092268367716251,52074,0.5196333801019871,3.06090152507452,-2.093628938737481,0.05706499052335646,3.988833859425768
0.5,0.0,5.5328048163881505,1.10656096327763,4,0.6092268367716251,52074,0.5196333801019871,3.06090152507452,-2.093628938737481,0.05706499052335646,3.988833859425768
0.5,0.15,5.532300577858628,1.1064601155717255,4,0.6092358849077091,52059,0.5196333801019871,3.0622326963172783,-2.0929556947853767,0.05455633679897147,3.988833859425768
0.5,0.2,5.5170769893931,1.10341539787862,4,0.6098579442634817,51561,0.5129163318411888,3.0518535570577345,-2.066268495649339,0.05627184077147525,3.962303755372041
0.5,0.25,5.4866260043408195,1.097325200868164,4,0.6135495837857401,48117,0.4862381312403226,3.0013524328754038,-1.8321021895969702,0.056103472582956684,3.7750341572391064
0.55,0.0,4.244329397069467,0.8488658794138934,5,0.6195507600434311,19161,0.011986668910175463,1.9765300727177912,0.008098856573399593,0.00853333230703409,2.239180466561066
0.55,0.05,4.244329397069467,0.8488658794138934,5,0.6195507600434311,19161,0.011986668910175463,1.9765300727177912,0.008098856573399593,0.00853333230703409,2.239180466561066
0.55,0.15,4.244329397069467,0.8488658794138934,5,0.6195507600434311,19161,0.011986668910175463,1.9765300727177912,0.008098856573399593,0.00853333230703409,2.239180466561066
0.55,0.1,4.244329397069467,0.8488658794138934,5,0.6195507600434311,19161,0.011986668910175463,1.9765300727177912,0.008098856573399593,0.00853333230703409,2.239180466561066
0.55,0.2,4.244329397069467,0.8488658794138934,5,0.6195507600434311,19161,0.011986668910175463,1.9765300727177912,0.008098856573399593,0.00853333230703409,2.239180466561066
0.55,0.25,4.239601865039809,0.8479203730079619,5,0.6195869525877671,19134,0.011986668910175463,1.9745024241620988,0.004798973099435,0.00913333230703409,2.239180466561066
0.45,0.05,3.9585072271818085,0.7917014454363617,4,0.5892214078899747,109456,1.6766209095582063,1.6303458409859004,-5.394778848938975,0.04801796340290136,5.998301362173775
0.45,0.0,3.9556828244560465,0.7911365648912093,4,0.5892055736518278,109466,1.6766209095582063,1.630739900795353,-5.393949085686941,0.04396973761565319,5.998301362173775
0.45,0.1,3.924165945990806,0.7848331891981613,4,0.5896217879116902,109118,1.6663145567824993,1.6250775980737517,-5.3843267557136745,0.04796527871834906,5.969135268129881
0.45,0.25,3.786431768694642,0.7572863537389284,4,0.6117784111473037,80174,1.2465507698237765,1.9272042287640794,-3.3219887478112273,0.06576754051158802,3.8688979774064256
0.45,0.15,3.7673243990394933,0.7534648798078987,4,0.5924742128121607,106449,1.5560556839497008,1.5984440752105855,-5.245957851820673,0.0833568589927516,5.775425632707129
0.45,0.2,3.3800281069567446,0.6760056213913489,4,0.6,97332,1.4049120857231379,1.6131217985511124,-4.72277727979035,0.08336597108112055,5.001405531391724
0.4,0.25,2.3689725655872396,0.4737945131174479,4,0.6119299674267101,90827,1.2024534647744982,1.365080459885005,-3.529693818893125,0.06556754051158802,3.265564919309273
0.35,0.25,2.3689725655872396,0.4737945131174479,4,0.6119299674267101,90827,1.2024534647744982,1.365080459885005,-3.529693818893125,0.06556754051158802,3.265564919309273
0.6,0.1,2.117736262088903,0.4235472524177806,4,0.6219598262757872,4608,-0.012877898473534342,0.8549114354027652,0.38484868800769234,0.00455702383440182,0.8862970133175779
0.6,0.15,2.117736262088903,0.4235472524177806,4,0.6219598262757872,4608,-0.012877898473534342,0.8549114354027652,0.38484868800769234,0.00455702383440182,0.8862970133175779
0.6,0.0,2.117736262088903,0.4235472524177806,4,0.6219598262757872,4608,-0.012877898473534342,0.8549114354027652,0.38484868800769234,0.00455702383440182,0.8862970133175779
0.6,0.05,2.117736262088903,0.4235472524177806,4,0.6219598262757872,4608,-0.012877898473534342,0.8549114354027652,0.38484868800769234,0.00455702383440182,0.8862970133175779
0.6,0.2,2.117736262088903,0.4235472524177806,4,0.6219598262757872,4608,-0.012877898473534342,0.8549114354027652,0.38484868800769234,0.00455702383440182,0.8862970133175779
0.6,0.25,2.117736262088903,0.4235472524177806,4,0.6219598262757872,4608,-0.012877898473534342,0.8549114354027652,0.38484868800769234,0.00455702383440182,0.8862970133175779
0.65,0.2,0.4927024488794033,0.09854048977588066,3,0.6214305103148752,727,0.0,0.05993331148256065,0.26330696022912947,0.0,0.1694621771677132
0.65,0.25,0.4927024488794033,0.09854048977588066,3,0.6214305103148752,727,0.0,0.05993331148256065,0.26330696022912947,0.0,0.1694621771677132
0.65,0.0,0.4927024488794033,0.09854048977588066,3,0.6214305103148752,727,0.0,0.05993331148256065,0.26330696022912947,0.0,0.1694621771677132
0.65,0.05,0.4927024488794033,0.09854048977588066,3,0.6214305103148752,727,0.0,0.05993331148256065,0.26330696022912947,0.0,0.1694621771677132
0.65,0.1,0.4927024488794033,0.09854048977588066,3,0.6214305103148752,727,0.0,0.05993331148256065,0.26330696022912947,0.0,0.1694621771677132
0.65,0.15,0.4927024488794033,0.09854048977588066,3,0.6214305103148752,727,0.0,0.05993331148256065,0.26330696022912947,0.0,0.1694621771677132
0.7,0.1,-0.04697317912264064,-0.009394635824528128,2,0.6210482265653275,106,0.0,-0.0667803109306471,0.00494432955732914,0.0,0.01486280225067732
0.7,0.15,-0.04697317912264064,-0.009394635824528128,2,0.6210482265653275,106,0.0,-0.0667803109306471,0.00494432955732914,0.0,0.01486280225067732
0.7,0.0,-0.04697317912264064,-0.009394635824528128,2,0.6210482265653275,106,0.0,-0.0667803109306471,0.00494432955732914,0.0,0.01486280225067732
0.7,0.05,-0.04697317912264064,-0.009394635824528128,2,0.6210482265653275,106,0.0,-0.0667803109306471,0.00494432955732914,0.0,0.01486280225067732
0.7,0.2,-0.04697317912264064,-0.009394635824528128,2,0.6210482265653275,106,0.0,-0.0667803109306471,0.00494432955732914,0.0,0.01486280225067732
0.7,0.25,-0.04697317912264064,-0.009394635824528128,2,0.6210482265653275,106,0.0,-0.0667803109306471,0.00494432955732914,0.0,0.01486280225067732
0.35,0.2,-0.6816090287569309,-0.13632180575138617,3,0.5957971407889975,126765,1.4577428948815967,-0.0011758774397662153,-6.011643129632102,0.08916407175717689,3.7843030116761636
0.4,0.2,-0.6816090287569309,-0.13632180575138617,3,0.5957971407889975,126765,1.4577428948815967,-0.0011758774397662153,-6.011643129632102,0.08916407175717689,3.7843030116761636
