label,T,delta,sum_cum_pnl,mean_cum_pnl,std_cum_pnl,n_pos_folds,sum_n_active,fold0_pnl,fold1_pnl,fold2_pnl,fold3_pnl,fold4_pnl
NN_only,0.7,0.0,-0.17084273811723927,-0.034168547623447856,0.2765321974405682,1,609,0.0,-0.517621617066605,0.34677887894936577,0.0,0.0
NN_only,0.7,0.05,-0.17084273811723927,-0.034168547623447856,0.2765321974405682,1,609,0.0,-0.517621617066605,0.34677887894936577,0.0,0.0
NN_only,0.7,0.1,-0.17084273811723927,-0.034168547623447856,0.2765321974405682,1,609,0.0,-0.517621617066605,0.34677887894936577,0.0,0.0
NN_only,0.7,0.15,-0.17084273811723927,-0.034168547623447856,0.2765321974405682,1,609,0.0,-0.517621617066605,0.34677887894936577,0.0,0.0
NN_only,0.7,0.25,-0.17084273811723927,-0.034168547623447856,0.2765321974405682,1,609,0.0,-0.517621617066605,0.34677887894936577,0.0,0.0
NN_only,0.7,0.2,-0.17084273811723927,-0.034168547623447856,0.2765321974405682,1,609,0.0,-0.517621617066605,0.34677887894936577,0.0,0.0
NN_only,0.65,0.15,-0.789767388171424,-0.1579534776342848,0.48183104333853205,1,1691,0.0,-1.0926250549773242,0.3028576668059002,0.0,0.0
NN_only,0.65,0.1,-0.789767388171424,-0.1579534776342848,0.48183104333853205,1,1691,0.0,-1.0926250549773242,0.3028576668059002,0.0,0.0
NN_only,0.65,0.0,-0.789767388171424,-0.1579534776342848,0.48183104333853205,1,1691,0.0,-1.0926250549773242,0.3028576668059002,0.0,0.0
NN_only,0.65,0.05,-0.789767388171424,-0.1579534776342848,0.48183104333853205,1,1691,0.0,-1.0926250549773242,0.3028576668059002,0.0,0.0
NN_only,0.65,0.2,-0.789767388171424,-0.1579534776342848,0.48183104333853205,1,1691,0.0,-1.0926250549773242,0.3028576668059002,0.0,0.0
NN_only,0.65,0.25,-0.789767388171424,-0.1579534776342848,0.48183104333853205,1,1691,0.0,-1.0926250549773242,0.3028576668059002,0.0,0.0
NN_only,0.6,0.1,-0.9951991700327122,-0.19903983400654243,0.6312800414868633,2,4132,0.0,-1.4187883516500994,0.42153543963813583,0.0020537419792514386,0.0
NN_only,0.6,0.15,-0.9951991700327122,-0.19903983400654243,0.6312800414868633,2,4132,0.0,-1.4187883516500994,0.42153543963813583,0.0020537419792514386,0.0
NN_only,0.6,0.0,-0.9951991700327122,-0.19903983400654243,0.6312800414868633,2,4132,0.0,-1.4187883516500994,0.42153543963813583,0.0020537419792514386,0.0
NN_only,0.6,0.05,-0.9951991700327122,-0.19903983400654243,0.6312800414868633,2,4132,0.0,-1.4187883516500994,0.42153543963813583,0.0020537419792514386,0.0
NN_only,0.6,0.2,-0.9951991700327122,-0.19903983400654243,0.6312800414868633,2,4132,0.0,-1.4187883516500994,0.42153543963813583,0.0020537419792514386,0.0
NN_only,0.6,0.25,-0.9951991700327122,-0.19903983400654243,0.6312800414868633,2,4132,0.0,-1.4187883516500994,0.42153543963813583,0.0020537419792514386,0.0
NN_only,0.55,0.2,-3.094693921466672,-0.6189387842933345,1.674307277203272,2,9548,0.0,-3.9137399220427365,0.7831351207223246,0.03591087985373981,0.0
NN_only,0.55,0.15,-3.094693921466672,-0.6189387842933345,1.674307277203272,2,9548,0.0,-3.9137399220427365,0.7831351207223246,0.03591087985373981,0.0
NN_only,0.55,0.0,-3.094693921466672,-0.6189387842933345,1.674307277203272,2,9548,0.0,-3.9137399220427365,0.7831351207223246,0.03591087985373981,0.0
NN_only,0.55,0.05,-3.094693921466672,-0.6189387842933345,1.674307277203272,2,9548,0.0,-3.9137399220427365,0.7831351207223246,0.03591087985373981,0.0
NN_only,0.55,0.1,-3.094693921466672,-0.6189387842933345,1.674307277203272,2,9548,0.0,-3.9137399220427365,0.7831351207223246,0.03591087985373981,0.0
NN_only,0.55,0.25,-3.108305434609298,-0.6216610869218596,1.674250876527774,2,9539,0.0,-3.9158997895953824,0.7829521850286018,0.02464216995748262,0.0
NN_only,0.5,0.25,-5.631437688859094,-1.126287537771819,2.42994160797652,3,21335,0.005541512724827841,-5.980442097171885,0.31443442314807357,0.03309461596074294,-0.004066143520853827
NN_only,0.5,0.2,-5.6588990509754,-1.13177981019508,2.430991197092323,3,21673,0.005541512724827841,-5.989924345427292,0.2639621923550128,0.06558773289290545,-0.004066143520853827
NN_only,0.5,0.15,-5.680337334370685,-1.1360674668741368,2.4219595795977633,3,21801,0.005541512724827841,-5.976996396534267,0.23299559379602908,0.06218809916357973,-0.004066143520853827
NN_only,0.5,0.05,-5.693583911397306,-1.1387167822794613,2.42047247748219,3,21810,0.005541512724827841,-5.976996396534267,0.2201430100579559,0.06179410587503158,-0.004066143520853827
NN_only,0.5,0.0,-5.693583911397306,-1.1387167822794613,2.42047247748219,3,21810,0.005541512724827841,-5.976996396534267,0.2201430100579559,0.06179410587503158,-0.004066143520853827
NN_only,0.5,0.1,-5.693583911397306,-1.1387167822794613,2.42047247748219,3,21810,0.005541512724827841,-5.976996396534267,0.2201430100579559,0.06179410587503158,-0.004066143520853827
NN_only,0.45,0.25,-14.977329948622373,-2.9954659897244746,3.796456416598729,2,47698,0.3244966992917202,-9.401466534585271,-0.6584342792386515,0.04963524251982268,-5.291561076609993
NN_only,0.45,0.2,-16.369180947880228,-3.2738361895760457,4.153777233614519,2,50968,0.3244966992917202,-10.527741589502043,-0.955751854390667,0.08137687333075583,-5.291561076609993
NN_only,0.45,0.15,-16.783969114689945,-3.356793822937989,4.202999249675917,2,52439,0.3244966992917202,-10.730930923605264,-1.1824681528274514,0.09649433906104192,-5.291561076609993
NN_only,0.45,0.1,-16.969739614853975,-3.3939479229707947,4.21706923895339,2,52875,0.3244966992917202,-10.8065452499845,-1.272630372725685,0.07650038517448463,-5.291561076609993
NN_only,0.45,0.05,-17.017972158193828,-3.4035944316387656,4.214118362989339,2,53014,0.3244966992917202,-10.81455621317805,-1.2857900957926642,0.04943852809515858,-5.291561076609993
NN_only,0.45,0.0,-17.021591395312583,-3.4043182790625166,4.21524478457142,2,53021,0.3244966992917202,-10.817907336998857,-1.2856582090906112,0.049038528095158594,-5.291561076609993
NN_only,0.4,0.25,-17.158528854758465,-3.431705770951693,4.173329126653512,2,63335,0.09729068005673754,-10.508345833500632,-0.9047249054118898,0.048829379184912744,-5.891578175087595
NN_only,0.35,0.25,-17.158528854758465,-3.431705770951693,4.173329126653512,2,63335,0.09729068005673754,-10.508345833500632,-0.9047249054118898,0.048829379184912744,-5.891578175087595
NN_only,0.35,0.2,-22.962518116533705,-4.592503623306741,5.316128163646724,2,85839,0.011288108313530193,-13.669999595225637,-1.9560545208409277,0.138711304780019,-7.4864634135606885
NN_only,0.4,0.2,-22.962518116533705,-4.592503623306741,5.316128163646724,2,85839,0.011288108313530193,-13.669999595225637,-1.9560545208409277,0.138711304780019,-7.4864634135606885
NN_only,0.4,0.15,-26.70602882882116,-5.341205765764232,5.8484497406850195,1,101309,-0.10794318845636533,-15.304976990938716,-3.1629982206477325,0.1985312481312699,-8.328641676909616
NN_only,0.4,0.1,-28.247800928828696,-5.649560185765739,6.0812500507375065,1,106935,-0.10794318845636533,-16.139319040805944,-3.8023019568546257,0.14018278049634433,-8.338419523208106
NN_only,0.4,0.05,-28.60014769383331,-5.720029538766662,6.066494644466623,1,109323,-0.10794318845636533,-16.176495430507522,-4.047304971135697,0.07001541947437892,-8.338419523208106
NN_only,0.35,0.15,-28.753980600720926,-5.7507961201441855,6.0715797753823315,1,109455,-0.1603068451788713,-15.649677481525538,-3.5389630728665358,0.19590135692044536,-9.600934558070424
NN_only,0.4,0.0,-28.79739200547887,-5.759478401095774,6.0547358028571825,0,110669,-0.10794318845636533,-16.20211451247924,-4.136123220962747,-0.012791560372410665,-8.338419523208106
NN_only,0.35,0.1,-34.300001639090404,-6.860000327818081,6.670397188023036,1,140011,-0.056728043964341224,-17.55134966878793,-6.124497658041517,0.025298163631916608,-10.59272443192853
NN_only,0.35,0.05,-40.75060572397409,-8.150121144794818,7.432235415664855,0,180171,-0.13453693248498483,-19.818999803218617,-9.254233801143513,-0.14812802995060503,-11.394707157176368
NN_only,0.35,0.0,-43.64804687197653,-8.729609374395306,7.688393646820658,0,201142,-0.14114467658900395,-20.417159666652513,-11.439999264379784,-0.30331340170513843,-11.34642986265009
LGB_5seed,0.45,0.1,11.456547524596639,2.2913095049193277,3.0673632806468656,4,100256,1.2979037704478713,2.1607257009092637,-0.27568078485394787,0.09708561729846209,8.17651322079499
LGB_5seed,0.45,0.05,11.431906629135067,2.2863813258270134,3.0668708599407766,4,100460,1.3036494885972485,2.12784969864763,-0.2831610729520546,0.10755558264393736,8.176012932198306
LGB_5seed,0.45,0.0,11.430686875677889,2.286137375135578,3.0667069921792187,4,100475,1.3036494885972485,2.125288487262127,-0.2831610729520546,0.10889704057226202,8.176012932198306
