horizon,bucket,sym,n,n_active,active_rate,sum_pnl,per_trade_pnl,hit_rate_active
5,mid_morn_10:00-11:20,0,36984,19529,0.5280391520657581,0.5555730273910054,2.844861628301528e-05,0.19458241589431102
5,mid_morn_10:00-11:20,1,36984,33687,0.9108533419857235,2.5850807042336665,7.673822852238746e-05,0.3275150651586666
5,mid_morn_10:00-11:20,2,36984,15968,0.43175427211767253,2.6127241375192796,0.00016362250360215928,0.27060370741482964
5,mid_morn_10:00-11:20,3,36984,4325,0.11694246160501838,0.9271742447335276,0.0002143755479152665,0.15815028901734104
5,mid_morn_10:00-11:20,4,36984,25121,0.6792396712091715,3.185241738304361,0.00012679597700347763,0.28673221607420085
5,mid_morn_10:00-11:20,-1,184920,98630,0.5333657797966689,9.865793852181842,0.00010002832659618617,0.27416607523066006
5,open_09:40-10:00,0,7224,6032,0.8349944629014396,-0.04219871493553733,-6.9958081789683906e-06,0.17175066312997347
5,open_09:40-10:00,1,7224,7215,0.9987541528239202,1.2690448995194867,0.00017588979896319984,0.4146916146916147
5,open_09:40-10:00,2,7224,6026,0.8341638981173864,0.9664639389200942,0.0001603823330434939,0.3015267175572519
5,open_09:40-10:00,3,7224,2057,0.2847452934662237,0.36225812378726907,0.00017610992891943075,0.14632960622265434
5,open_09:40-10:00,4,7224,6671,0.9234496124031008,1.460601999267801,0.00021894798370076466,0.37670514165792235
5,open_09:40-10:00,-1,36120,28001,0.7752214839424142,4.016170246559114,0.00014342952917964052,0.3092389557515803
5,pm_late_13:30-14:50,0,29784,5867,0.1969849583669084,0.5102786063316372,8.697436617208748e-05,0.25873529913073123
5,pm_late_13:30-14:50,1,29784,21834,0.7330781627719581,0.9691530452546855,4.438733375719912e-05,0.29225061830173127
5,pm_late_13:30-14:50,2,29784,3054,0.10253827558420628,0.4268046622968291,0.00013975267265776986,0.2134905042567125
5,pm_late_13:30-14:50,3,29784,2726,0.09152565135643298,0.8089494108323755,0.00029675326883065866,0.1936903888481291
5,pm_late_13:30-14:50,4,29784,11418,0.38336019339242544,1.2095424549943097,0.00010593295279333593,0.244438605710282
5,pm_late_13:30-14:50,-1,148920,44899,0.30149744829438624,3.9247281797098363,8.74123739885039e-05,0.2643711441234771
5,pm_open_13:10-13:30,0,14424,4480,0.3105934553521908,0.1299636001488194,2.9009732176075763e-05,0.20133928571428572
5,pm_open_13:10-13:30,1,14424,11498,0.7971436494731003,0.560844487563465,4.87775689305501e-05,0.29813880674899984
5,pm_open_13:10-13:30,2,14424,2151,0.14912645590682197,0.2382649780893163,0.00011076939939066309,0.20548582054858205
5,pm_open_13:10-13:30,3,14424,1265,0.08770105379922352,0.37278059012554593,0.00029468821353798095,0.18972332015810275
5,pm_open_13:10-13:30,4,14424,6831,0.473585690515807,0.829846168935618,0.00012148238456091612,0.27243448982579416
5,pm_open_13:10-13:30,-1,72120,26225,0.36363006100942874,2.131699824862765,8.128502668685472e-05,0.2620781696854147
10,mid_morn_10:00-11:20,0,36984,30347,0.8205440190352585,0.14550151219066287,4.794592947924436e-06,0.19221010314034337
10,mid_morn_10:00-11:20,1,36984,35796,0.9678780012978585,2.6539337557705416,7.414051167087221e-05,0.38241702983573583
10,mid_morn_10:00-11:20,2,36984,24916,0.6736967337226909,3.505753261269378,0.00014070289216846116,0.30277733183496547
10,mid_morn_10:00-11:20,3,36984,6397,0.17296668829764222,1.1672710610957446,0.00018247163687599573,0.14944505236829764
10,mid_morn_10:00-11:20,4,36984,28772,0.7779580359074194,5.521001869765098,0.00019188801160034403,0.358821076046156
10,mid_morn_10:00-11:20,-1,184920,126228,0.6826086956521739,12.993461460091428,0.00010293644405434157,0.3037836296225877
10,open_09:40-10:00,0,7224,7115,0.9849114064230343,-0.006796926565049072,-9.552953710539806e-07,0.2163035839775123
10,open_09:40-10:00,1,7224,7224,1.0,1.427137106972626,0.00019755497051116084,0.464562569213732
10,open_09:40-10:00,2,7224,6959,0.9633167220376523,1.088652950747825,0.0001564381305859786,0.359965512286248
